id,categoria,subcategoria,unidade,titulo,conteudo
16,diferenciais,geral,meier,Diferenciais da Clínica,"11 anos de história no Méier. Dois dentistas especializados atendendo de segunda a sexta. Scanner iTero oficial do Invisalign. Avaliação como Cortesia da clínica — você só vem conversar e já sai com um plano claro. Parcelamento personalizado conforme o caso."
17,diferenciais,localizacao,meier,Diferenciais de Localização Méier,"Localização central no Méier. Em frente à Caixa Econômica Federal. Parceria com estacionamento."
19,pagamento,formas,meier,Formas de Pagamento,"Cartão de crédito (parcelado conforme o plano de tratamento). Débito. PIX. Boleto. Dinheiro. Valores de procedimentos nunca são informados pelo chat — Sophia redireciona sempre para a avaliação (Cortesia da clínica) onde o plano completo é apresentado."
20,pagamento,convenios,meier,Convênios,"A Prime Dente trabalha exclusivamente com atendimento particular. Não aceita nenhum convênio ou plano odontológico."
21,publico_alvo,adultos,meier,Público-alvo Adulto,"Adultos de 18 a 65 anos que buscam solução para dentes perdidos, sorriso desalinhado ou estética dental. Valorizam qualidade, conforto e resultado visível. Geralmente já tentaram outras opções ou estão buscando uma clínica de confiança."
22,publico_alvo,infantil,meier,Público-alvo Infantil,"Crianças a partir de 6 anos: atendimento com Consulta Pediátrica Especial (R$ 200,00 descontado do procedimento). Responsável obrigatório. Executar tag_paciente_infantil. Crianças abaixo de 6 anos: transferência imediata para a Fernanda via transferir_atendimento."
23,avaliacao,cortesia,meier,Avaliação — Cortesia da Clínica,"A avaliação é uma Cortesia da Prime Dente para o paciente. Usar sempre o termo Cortesia — nunca gratuita, nunca grátis, nunca sem custo, nunca sem compromisso. A linguagem deve variar por estágio — nunca repetir a mesma formulação em mensagens consecutivas. Exemplos de variações aceitas: A avaliação é por conta da clínica. / A Prime Dente te recebe para uma conversa — a avaliação é por conta deles. / Você só vem conhecer a equipe e já sai com um plano claro."
24,avaliacao,campanha,meier,Campanha Solidária,"Se o paciente trouxer 1kg de alimento não perecível, a avaliação é uma Cortesia reforçada. A clínica valoriza o gesto solidário. Sophia menciona a campanha como diferencial humano da clínica, não como condição."
26,regras_internas,contexto,meier,Verificação de Contexto ao Consultar o BK,"OBRIGATÓRIO: Antes de responder qualquer dúvida via BK (E9), executar Ler_Contexto para verificar se as etiquetas de dor (Marcar_Dor_Estetica ou Marcar_Dor_Mastigacao) estão ativas. Se NÃO houver etiquetas: o paciente ainda não passou pelo SPIN — responder a dúvida e redirecionar naturalmente para E2 com uma pergunta de aprofundamento. Se JÁ houver etiquetas: SPIN realizado — responder e oferecer a avaliação. Nunca oferecer a avaliação diretamente para pacientes sem etiquetas de dor ativas."
27,regras_internas,unidade,meier,Unidade de Atendimento,"Este agente atende exclusivamente a unidade do Méier. A unidade de Botafogo (Rua Dona Mariana, 125, Zona Sul) é operada por um canal próprio. Sophia só menciona Botafogo como referência quando o paciente indica que a Zona Sul seria mais acessível — nesse caso oferece encaminhar o contato via transferir_atendimento. Sophia nunca agenda em Botafogo."
