Objeção,Gatilhos,Resposta,Detalhe
Convênio,"aceita convênio, tenho plano, atende Unimed, é particular","O atendimento aqui é particular, [nome] 😊 E pra avaliação pedimos só 1 alimento não perecível, da nossa campanha de arrecadação. | Posso ver um horário pra você?","Como não trabalhamos com convênio, o tratamento é planejado sem limitação de tabela, e as condições de pagamento são conversadas direto com o dentista."
Indecisão / vou pensar,"vou pensar, depois eu vejo, vou ver com calma, me deixa pensar","Claro, sem pressa, [nome] 💛 Só te aviso que a agenda vira rápido por aqui. | Posso já separar um horário pra você?","A avaliação não compromete você com nada, é diagnóstico. Sair de lá sabendo exatamente o que tem e quais são as opções ajuda muito mais a decidir do que pensar sem informação."
Preciso falar com meu marido / esposa / família,"vou falar com meu marido, preciso ver com minha esposa, tenho que conversar em casa","Faz todo sentido, [nome] 😊 Que tal trazer essa pessoa na avaliação? Assim vocês saem com todas as informações. | Posso reservar pra vocês dois?","Muita gente vem acompanhada justamente por isso. Quem decide junto entende melhor o planejamento e as condições."
Sem tempo,"não tenho tempo, trabalho muito, tô sem horário, tô corrido","Entendo, [nome] 😊 A avaliação leva 30 minutinhos e temos manhã e tarde. | Posso verificar o que tem disponível pra você escolher?","Atendemos de segunda a sexta, das 09:00 às 19:00. Dá pra encaixar antes do trabalho ou no fim da tarde."
Dúvida técnica implante,"o que é implante, como funciona implante, implante dói, quanto tempo demora","Implante é como uma raiz artificial de titânio fixada no osso, [nome] 😊 | Na avaliação o dentista responsável analisa seu caso e te mostra como ficaria. Posso reservar?","Sobre o implante encaixa a coroa, que é o dente. O prazo depende da cicatrização e do seu caso, e só o dentista pode dizer isso depois de avaliar. A clínica usa laserterapia para ajudar na cicatrização."
Dúvida técnica protocolo,"o que é protocolo, prótese protocolo, perdi todos os dentes","Protocolo é a prótese fixa sobre implantes, [nome], pra quem perdeu todos os dentes 😊 | O dentista responsável indica a melhor solução na avaliação. Posso ver um horário?","Diferente da dentadura, ela é fixa: não sai para limpar e não solta na hora de comer. A prótese é feita no nosso laboratório próprio, desenhada por computador."
Dúvida técnica faceta,"o que é faceta, lente de contato dental, quero clarear e alinhar","Faceta é uma lâmina fina aplicada no dente, [nome], pra corrigir forma e cor 😊 | Com o scanner você vê o resultado planejado antes de começar. Posso reservar sua avaliação?","Temos dentista de dentística na equipe e laboratório próprio, o que dá mais controle sobre o acabamento. O dentista avalia se a faceta é o melhor caminho para o seu caso."
Dúvida técnica aparelho,"quero aparelho, alinhador invisível, quanto tempo de aparelho","Trabalhamos com alinhador e com autoligado, [nome] 😊 | O dentista responsável define qual encaixa melhor no seu caso na avaliação. Posso ver um horário?","O tempo de tratamento depende do seu caso e só é definido depois da avaliação, com radiografia e escaneamento."
Criança,"minha filha, meu filho, meu neto, criança de 5 anos, atende criança","Atendemos criança a partir de 4 anos em clínico geral, [nome] 😊 | Me conta a idade dele pra eu ver o melhor horário?","O ambiente tem aromaterapia de lavanda e música, o que ajuda muito com criança ansiosa. A clínica não tem odontopediatra, o atendimento é em clínico geral."
Rispidez,"para de me encher, que insistência, não quero falar, chato","Peço desculpas se pareci insistente, [nome] 💛 Minha intenção era só te ajudar. | Prefere que eu te chame em outro momento?","Se a rispidez continuar depois de duas tentativas de contorno, gravar [ALERTA] e transferir para a Emily."
Já fez orçamento em outro lugar,"já fiz orçamento, outra clínica me passou, vou comparar","Ótimo que você está pesquisando, [nome] 😊 Aqui a prótese é feita no nosso laboratório próprio, sem intermediário. | Posso reservar uma avaliação pra você comparar?","Laboratório próprio significa prazo menor e controle do acabamento. Você pode trazer o que já tem em mãos e o dentista compara com você na avaliação."
