id,titulo,palavras_chave,tentativa,resposta,raciocinio
18,Implante vs. Dentadura / Prótese removível,"dentadura, prótese, preferir dentadura, mais barato que implante, não quero implante, prótese total, removível",unica,"Faz sentido considerar todas as opções 😊 | A principal diferença é que o implante é fixo, funciona como dente natural e preserva o osso ao longo do tempo. A prótese removível não tem esse efeito. | Na avaliação nosso especialista apresenta as duas opções com o que cada uma significa para o seu caso.","Não desqualificar a prótese removível. Apresentar o implante com argumentos funcionais e de longo prazo. Deixar a decisão para depois da avaliação — nunca pressionar. NUNCA nomear o Dr. Thiago antes do agendamento — usar 'nosso especialista'. NUNCA especificar material ou subtipo da prótese removível (ex: flexível, acrílica, etc.) — a clínica não trabalha com prótese flexível e o BK não detalha materiais. Manter a resposta genérica e levar para a avaliação."
19,Bruxismo — preocupação com tratamento,"bruxismo, range os dentes, aperto, placa de bruxismo, implante com bruxismo, alinhador com bruxismo",unica,"O bruxismo é um fator que precisa ser considerado no planejamento, e nossa equipe está preparada para isso 😊 | Ele não impede o tratamento, mas influencia a escolha do protocolo, especialmente para implantes e alinhadores. | Na avaliação o especialista avalia o seu grau de bruxismo e já inclui isso no plano.","Não assustar dizendo que bruxismo impede tratamento. Mostrar que a clínica tem protocolo integrado. Redirecionar para avaliação como planejamento completo."
20,Gengiva sangrando / Periodontia,"gengiva, sangra, periodontite, gengivite, gengiva inchada, dói a gengiva, problema na gengiva, tártaro",unica,"Gengiva sangrando é um sinal que merece atenção 😔 | Pode ser gengivite ou algo mais avançado, só a avaliação clínica consegue dizer com precisão. | A Prime Dente tem especialidade em periodontia justamente para cuidar disso. Posso verificar a agenda para você?","Criar senso de urgência sem assustar. Gengiva sangrando é sintoma — não diagnóstico. Redirecionar para avaliação com urgência empática e cuidado."
21,Sensibilidade dentária,"sensibilidade, dente sensível, gelado, quente, doce, dói ao comer, sensível ao frio, sensível ao calor",unica,"A sensibilidade tem várias causas possíveis: desgaste, raiz exposta, cárie, bruxismo, entre outras 😊 | Só a avaliação clínica consegue identificar o que está acontecendo no seu caso. | A gente tem protocolo específico para isso. Posso separar uma vaga para você?","Não dar diagnóstico. Mostrar que sensibilidade tem causa identificável e tratamento. Redirecionar para avaliação com naturalidade — urgência leve."
22,Invisalign — meu caso é grave demais,"grave, torto demais, caso complexo, sério demais, não serve para mim, não funciona no meu caso, Invisalign serve",unica,"Entendo a preocupação 😊 | O Invisalign resolve hoje uma gama muito maior de casos do que antes, inclusive casos considerados complexos. | Com o Scanner iTero você já sai da avaliação vendo se é indicado e como ficaria o resultado.","Não prometer que o Invisalign é para todo caso. Usar o Scanner iTero como prova visual antes de qualquer comprometimento. NUNCA nomear a Dra. Lorraine antes do agendamento — usar 'nosso especialista' ou omitir. A avaliação como diagnóstico real — não venda."
23,Invisalign — dói usar?,"dói, alinhador machuca, incômodo, corta a bochecha, desconfortável, pressão, alinhador dói",unica,"Nos primeiros dias há uma leve pressão, é o dente se movimentando, o que é completamente normal 😊 | Mas não tem bráquetes nem arames, é bem mais confortável que o aparelho fixo. | E como é removível, você tira para comer e escovar normalmente. Na avaliação você pode até segurar um alinhador para ver como é.","Não negar o desconforto inicial — ser honesta e humana. Contrastar com aparelho fixo como benchmark de conforto. Removível como argumento de praticidade."
24,Duração do tratamento — demora muito,"quanto tempo, demora, meses, anos, longo, vai demorar, tempo de tratamento, prazo",unica,"Depende muito do seu caso, por isso a avaliação é tão importante 😊 | Um clareamento pode ser resolvido em semanas. Um alinhamento ou implante leva mais tempo, mas o especialista já te apresenta o cronograma completo na avaliação. | Assim você sai sabendo exatamente o que esperar.","Não dar prazos sem ver o caso clínico. Mostrar que a avaliação entrega o cronograma real. Transformar a dúvida de prazo em motivação para ir à avaliação."
25,Garantia / E se não der certo?,"garantia, e se não funcionar, e se não ficar bom, resultado, frustração, deu errado, errar",unica,"Essa é uma preocupação legítima 😊 | O que a gente faz é apresentar o plano completo na avaliação antes de qualquer procedimento: você vê o que será feito, o resultado esperado e os profissionais envolvidos. | Nada é iniciado sem o seu sim consciente.","Validar o receio. Posicionar a clínica como transparente no planejamento. Avaliação como espaço de decisão informada — nunca pressão."
26,Gestante / Grávida — pode ir ao dentista?,"grávida, gestante, gravidez, posso fazer, seguro na gravidez, tratamento grávida, primeiro trimestre",unica,"Gestantes podem e devem cuidar da saúde bucal 😊 | Gengiva e cárie tendem a piorar na gravidez por conta das mudanças hormonais, cuidar agora evita complicações. | Alguns procedimentos são ajustados conforme o trimestre, nosso especialista avalia seu momento e te orienta com segurança.","Não dar protocolo clínico específico. Mostrar que gravidez não é impeditivo — mas exige cuidado especializado. Redirecionar para avaliação como orientação segura."
27,Dente quebrado / Urgência,"quebrou, lascou, rachado, dente partido, dente caiu, fraturou, urgência, fratura dental",unica,"Quando o dente quebra é importante avaliar logo, dependendo da extensão da fratura, o tratamento muda muito 😔 | Pode ser uma restauração simples ou algo que envolve o nervo, só a avaliação clínica responde. | Deixa eu verificar se temos um horário disponível para você hoje ou amanhã?","Criar urgência real — fratura pode evoluir se esperada. Não dar diagnóstico. Priorizar a agenda — oferecer o horário mais próximo disponível."
28,Restauração / Obturação caiu ou machuca,"obturação, restauração, chumbo, massa caiu, dente com buraco, restauração soltou, massa soltou, buraco no dente",unica,"Isso precisa ser avaliado logo para evitar que a cárie avance 😔 | Quando a restauração sai o dente fica exposto, e restaurar cedo é bem melhor do que precisar de canal depois. | Deixa eu verificar a agenda mais próxima para você?","Urgência real — restauração solta expõe o dente à cárie. Não afirmar que vai precisar de canal. Redirecionar para avaliação com prioridade e cuidado genuíno."
29,Halitose / Mau hálito,"hálito, mau hálito, halitose, boca, cheiro, bafo, problema no hálito, hálito ruim",unica,"Halitose tem tratamento, e na maioria das vezes tem uma causa clínica identificável 😊 | Pode ser tártaro, gengivite, cárie, prótese mal adaptada ou até questão gástrica. | A Prime Dente já identifica a origem bucal na avaliação e te orienta o caminho certo.","Desmistificar a halitose como algo vergonhoso ou incurável. Mostrar que é sintoma com causa identificável. Redirecionar para avaliação como diagnóstico — não julgamento."
30,Lentes de contato dental — dúvida,"lente de contato, lente dental, faceta fina, porcelana fina, dente bonito, lente cerâmica, ultra fino",unica,"As lentes de contato dental são tão finas quanto uma casca de ovo, fixadas diretamente na superfície do dente 😊 | Em muitos casos não exigem nenhum desgaste do dente natural, o que é um grande diferencial. | Na avaliação com nosso especialista você já vê como ficaria o resultado e o que seria necessário no seu caso.","Diferenciar lente de contato dental de faceta convencional. Destacar ausência de desgaste como diferencial estético. NUNCA nomear a Dra. Lorraine antes do agendamento — usar 'nosso especialista'. Avaliação como visualização do resultado."
31,Protocolo All on 4 / All on 6 — indicação,"protocolo, all on four, all on six, implante fixo, boca toda, dentes todos, prótese fixa no implante, reabilitação total",unica,"O protocolo é uma reabilitação completa, dentes fixos no mesmo dia, sustentados por implantes de titânio 😊 | É indicado para quem perdeu todos ou quase todos os dentes e busca uma solução definitiva e funcional. | Nosso especialista em implantes atua justamente nisso. Na avaliação ele verifica se o seu caso tem as condições ideais para o protocolo.","Explicar o protocolo de forma acessível — sem termos técnicos. NUNCA nomear o Dr. Thiago antes do agendamento — usar 'nosso especialista em implantes'. Avaliação como diagnóstico de viabilidade — não como venda direta."
